Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
79.869606	1025	1569522	1568498	0	110.021461	1.000000	39.324379	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	195	195	1	1	1	27156	5	124169	0	1025	0	0	0	0	0	0	0	0	0
80.869614	1025	1591058	1590034	0	110.568779	1.000000	53.747688	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	227	227	1	1	1	27575	5	125905	0	1025	0	0	0	0	0	0	0	0	0
81.869621	1025	1612648	1611624	0	109.523903	1.000000	42.497242	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	210	210	1	1	1	27936	5	127557	0	1025	0	0	0	0	0	0	0	0	0
82.869774	1025	1634291	1633267	0	112.212685	1.000000	34.659142	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	231	231	1	1	1	28316	5	129268	0	1025	0	0	0	0	0	0	0	0	0
83.869781	1024	1655838	1654815	0	115.579102	1.000000	45.148037	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	235	235	1	1	1	28686	5	130985	0	1024	0	0	0	0	0	0	0	0	0
84.869804	1025	1677236	1676212	0	117.491707	1.000000	44.132851	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	210	210	1	1	1	29061	5	132705	0	1025	0	0	0	0	0	0	0	0	0
85.869850	1025	1698802	1697778	0	119.021461	1.000976	41.146797	0.000975	2.090818e+01	0.000000e+00	1.315983e+01	0.000000e+00	220	220	2	1	1	29458	5	134408	0	1024	1	0	0	0	0	0	0	0	0
86.869873	1025	1720378	1719354	0	120.358047	1.000976	38.147896	0.000975	2.088314e+01	0.000000e+00	1.961565e+01	0.000000e+00	217	217	2	1	1	29811	5	136125	0	1024	1	0	0	0	0	0	0	0	0
87.869888	1026	1741721	1740696	0	123.573097	1.000000	40.757332	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	199	199	1	1	1	30176	5	137857	0	1026	0	0	0	0	0	0	0	0	0
88.870094	1025	1763271	1762247	0	125.935608	1.000000	28.493402	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	218	218	1	1	1	30518	5	139536	0	1025	0	0	0	0	0	0	0	0	0
89.870140	1025	1784505	1783481	0	129.414627	1.000000	42.031986	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	230	230	1	1	1	30853	5	141209	0	1025	0	0	0	0	0	0	0	0	0
90.870140	1024	1805768	1804745	0	129.352539	1.000000	38.124771	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	234	234	1	1	1	31225	5	142930	0	1024	0	0	0	0	0	0	0	0	0
91.870171	1025	1827118	1826094	0	130.064392	1.000000	27.310963	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	216	216	1	1	1	31600	5	144667	0	1025	0	0	0	0	0	0	0	0	0
92.870216	1025	1848770	1847746	0	132.982437	1.000000	24.551855	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	219	219	1	1	1	31981	5	146384	0	1025	0	0	0	0	0	0	0	0	0
93.870232	1025	1870200	1869176	0	136.432190	1.000000	27.014189	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	224	224	1	1	1	32348	5	148049	0	1025	0	0	0	0	0	0	0	0	0
94.870323	1025	1891626	1890602	0	139.454636	1.000000	28.480135	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	248	248	1	1	1	32756	5	149816	0	1025	0	0	0	0	0	0	0	0	0
95.870430	1025	1913094	1912070	0	141.109268	1.000000	24.200735	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	231	231	1	1	1	33127	5	151530	0	1025	0	0	0	0	0	0	0	0	0
96.870438	1025	1934578	1933554	0	144.208786	1.000000	26.787653	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	230	230	1	1	1	33518	5	153191	0	1025	0	0	0	0	0	0	0	0	0
97.870483	1025	1955981	1954957	0	147.578537	1.000000	31.574579	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	211	211	1	1	1	33863	5	154879	0	1025	0	0	0	0	0	0	0	0	0
98.870491	1025	1977386	1976362	0	149.203903	1.000000	24.117437	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	225	225	1	1	1	34235	5	156559	0	1025	0	0	0	0	0	0	0	0	0
99.870560	1025	1998784	1997760	0	151.080002	1.000976	24.779940	0.000975	2.035364e+01	0.000000e+00	4.567979e+02	0.000000e+00	228	228	2	1	1	34639	5	158302	0	1024	1	0	0	0	0	0	0	0	0
100.870583	1025	2020312	2019288	0	154.267319	1.000000	27.017313	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	227	227	1	1	1	35023	5	160060	0	1025	0	0	0	0	0	0	0	0	0
101.870598	1024	2042125	2041102	0	156.525391	1.000000	19.415363	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	215	215	1	1	1	35356	5	161776	0	1024	0	0	0	0	0	0	0	0	0
102.870628	1025	2063416	2062392	0	157.989273	1.000000	33.306206	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	221	221	1	1	1	35702	5	163474	0	1025	0	0	0	0	0	0	0	0	0
103.870659	1025	2084994	2083970	0	160.068298	1.000000	35.064583	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	214	214	1	1	1	36055	5	165150	0	1025	0	0	0	0	0	0	0	0	0
104.870728	1025	2106280	2105256	0	165.709274	1.000000	36.971088	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	235	235	1	1	1	36473	5	166850	0	1025	0	0	0	0	0	0	0	0	0
105.870735	1026	2127824	2126799	0	167.974655	1.000000	39.617264	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	219	219	1	1	1	36858	5	168546	0	1026	0	0	0	0	0	0	0	0	0
106.870827	1025	2149626	2148602	0	169.478043	1.000000	50.811447	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	220	220	1	1	1	37238	5	170279	0	1025	0	0	0	0	0	0	0	0	0
107.870895	1025	2171059	2170035	0	170.753174	1.000000	45.120525	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	250	250	1	1	1	37651	5	172026	0	1025	0	0	0	0	0	0	0	0	0
108.870911	1026	2192686	2191661	0	171.221252	1.000000	37.355568	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	226	226	1	1	1	38012	5	173774	0	1026	0	0	0	0	0	0	0	0	0
109.870926	1025	2214165	2213141	0	174.263412	1.000000	27.058428	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	236	236	1	1	1	38430	5	175619	0	1025	0	0	0	0	0	0	0	0	0
110.870934	1025	2235582	2234558	0	176.976578	1.000000	37.041367	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	211	211	1	1	1	38775	5	177203	0	1025	0	0	0	0	0	0	0	0	0
111.870941	1024	2257297	2256274	0	178.577148	1.000000	52.117149	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	244	244	1	1	1	39182	5	178945	0	1024	0	0	0	0	0	0	0	0	0
112.870987	1025	2279070	2278046	0	181.465363	1.000000	29.265392	0.000000	2.102154e+01	0.000000e+00	0.000000e+00	0.000000e+00	241	241	1	1	1	39554	5	180613	0	1025	0	0	0	0	0	0	0	0	0
113.870987	1025	2300499	2299475	0	184.152191	1.000976	44.236328	0.000975	1.992780e+01	0.000000e+00	1.224982e+03	0.000000e+00	201	201	2	1	1	39880	5	182172	0	1024	1	0	0	0	0	0	0	0	0
