JA LL 1,JALL 2,JA3,JA4,JB LL 3,JB LL 4,JB3,JB4
0.165639386,0.206699638,0.111288229,0.088191545,0.548150211,0.061174135,0.245364478,0.550762225
0.059541778,0.025418957,0.153009976,0.085231786,0.058501978,0.351287007,0.481128297,0.029138242
0.515012724,0.434531338,0.558655374,0.46693069,0.410836734,0.291376939,0.44582865,0.448640139
0.816950529,0.35805757,0.438318437,0.54900902,0.865917954,0.070097233,0.881709561,0.668961129
0.648820874,0.712804843,0.510294268,0.505791902,0.182047249,0.052687241,0.480287555,0.426922506
0.48659463,0.927520059,0.587653088,0.497550247,0.17555113,0.876457714,0.52107138,0.448576946
0.153474261,0.09542597,0.101788722,0.0331204,0.441031312,0.050243619,0.450077002,0.368160835
0.466520844,0.649037645,0.55021616,0.371798071,0.929950903,0.524517253,0.563267532,0.663964479
0.744891566,0.422499639,0.198829914,0.141435911,0.070185295,0.101349962,0.106890205,0.656947686
0.67513293,0.583642309,0.472755745,0.517622416,0.672228271,0.30113087,0.495656946,0.247649778
0.881172454,0.945711043,0.6672549,0.616247603,0.644245832,0.309287606,0.870245223,0.590124444
0.405019926,0.636123496,0.472858638,0.496002412,0.705725806,0.058741372,0.476968328,0.56597234
0.058734368,0.127856793,0.076162037,0.034571698,0.141462898,0.083833865,0.142153902,0.040291677
0.078323082,0.084156477,0.057610195,0.310203598,0.397254566,0.0637056,0.547401255,0.612865534
0.693441174,0.690673954,0.590204824,0.148249031,0.475807926,0.389290031,0.419645131,0.444532822
0.895679486,0.762826388,0.878654803,0.531337686,0.946252088,0.617515509,0.483444305,0.907488265
0.082359483,0.077011305,0.11644434,0.058432742,0.272602703,0.065038547,0.192115755,0.489475335
0.052940279,0.045503566,0.154211463,0.049446158,0.033143771,0.146356135,0.577787456,0.036430252
0.937992449,0.886681251,0.881636683,0.923657507,0.235037486,0.514487842,0.094121649,0.089341613
0.219295826,0.311111264,0.633184561,0.060737577,0.140115939,0.046791497,0.075385512,0.090549885
0.036694299,0.043298059,0.094188144,0.099987875,0.43800334,0.31030893,0.452744357,0.064723383
0.838124011,0.88919311,0.807034164,0.592371311,0.473727285,0.098851462,0.570997004,0.936042015
0.792153611,0.811941533,0.790154782,0.918331082,0.867195126,0.725224491,0.692531243,0.93559816
0.051403293,0.329987516,0.174140497,0.300600528,0.868946411,0.274898633,0.585884529,0.557274681
0.703252971,0.530489435,0.497250335,0.538004105,0.788911252,0.040969912,0.497056892,0.359989868
0.631338267,0.7928369,0.823305737,0.216742831,0.691809085,0.695902805,0.164135994,0.929349805
0.033897244,0.02980896,0.128356861,0.029996482,0.032251192,0.033677828,0.457289581,0.054689194
0.732162058,0.950401879,0.804263256,0.557358809,0.912899387,0.513290993,0.328068352,0.912820768
0.088971132,0.048425403,0.286484223,0.075032507,0.688758705,0.687948107,0.498719913,0.600321537
0.133739855,0.107982316,0.078812714,0.092849299,0.407641106,0.611818152,0.236116588,0.514806662
0.403758741,0.405684621,0.465775668,0.582265067,0.925676617,0.950382695,0.658415822,0.903126472
0.796959285,0.597487508,0.698491916,0.860059808,0.951527201,0.457329466,0.529011916,0.932139216
0.169915969,0.353376748,0.120913745,0.048086346,0.074202027,0.44576547,0.032570414,0.395862389
0.069497634,0.034430673,0.258543016,0.03232842,0.056405628,0.042937273,0.476819906,0.346433916
0.669369824,0.438922475,0.684037686,0.912309969,0.880221807,0.90219202,0.739716194,0.924839934
0.381524625,0.033900041,0.14555098,0.089177013,0.056920015,0.162220866,0.243170786,0.499613512
0.642327553,0.286764074,0.249759054,0.497133105,0.603525107,0.043512698,0.709543523,0.443357654
0.703060642,0.833414738,0.79311883,0.898074716,0.740009286,0.350284268,0.627915478,0.564764429
0.876649856,0.682503168,0.555406981,0.900510542,0.65445322,0.224968664,0.938469059,0.953249864
0.511120632,0.303131604,0.243579979,0.114528036,0.095358529,0.260782651,0.08948423,0.066024323
0.195355084,0.13838887,0.332190964,0.421924676,0.761752085,0.682876043,0.734928354,0.829948137
0.231835429,0.343788521,0.377740741,0.392344694,0.625987471,0.050929726,0.507470358,0.398103101
0.777764011,0.872333953,0.853673092,0.537228676,0.957911638,0.605230405,0.88907568,0.922600008
0.815275918,0.577193809,0.8719538,0.841454569,0.917859396,0.04044641,0.707214655,0.905054303
0.025202259,0.041002417,0.08211562,0.061931415,0.639275681,0.024531139,0.222446381,0.585264992
0.025158105,0.026253636,0.111743534,0.028069544,0.346139497,0.028665354,0.181696512,0.205800851
0.087253234,0.037631939,0.260243653,0.083509886,0.071251449,0.272014729,0.179367918,0.049553853
0.126792859,0.269941126,0.317398732,0.663032303,0.502589723,0.732181183,0.215461857,0.382099272
0.663987656,0.468541694,0.43149581,0.528325136,0.093245627,0.913173376,0.515480888,0.156447444
0.828247062,0.828068441,0.651584016,0.594775555,0.921849345,0.835922814,0.636149914,0.913228908
0.449315642,0.203638535,0.28798971,0.433608541,0.938913749,0.641558642,0.60388401,0.894833111
0.545284917,0.34707255,0.157680692,0.156706426,0.568194252,0.499884819,0.606412912,0.448725264
0.680029231,0.668427497,0.375413532,0.223905298,0.6678018,0.521377812,0.896857827,0.525866631
0.174532837,0.148475824,0.032530638,0.050666744,0.612624414,0.375901967,0.630987337,0.372259452
0.056519668,0.093311906,0.085858319,0.036148542,0.209452056,0.288301834,0.178384278,0.033135854
0.551562708,0.721460066,0.364781939,0.489600881,0.910897389,0.077258759,0.900475379,0.926996419
0.370548618,0.454155729,0.066856253,0.045512409,0.152226949,0.239838734,0.063040855,0.036667439
0.062804302,0.091734055,0.090298615,0.054372806,0.061972,0.070196899,0.14960222,0.039102075
0.645026986,0.436313526,0.405264075,0.155904222,0.035807382,0.75026995,0.076796937,0.027001102
0.537977762,0.761599045,0.263670436,0.141751066,0.090982226,0.056583093,0.331775148,0.438105684
0.028543894,0.02159131,0.076450792,0.023122454,0.028171131,0.02957125,0.098103875,0.019252025
0.073536892,0.180426609,0.10680554,0.075228455,0.429926391,0.277442641,0.157541125,0.264941222
0.416260079,0.507894947,0.549114125,0.534187286,0.896399524,0.748225468,0.819439331,0.848317773
0.899111873,0.726478029,0.840097073,0.858006367,0.931092705,0.633778352,0.540371731,0.895889991
0.825636722,0.82021811,0.664772387,0.909777786,0.931907442,0.870515195,0.914597279,0.943850397
0.398962573,0.430387801,0.533550098,0.602374055,0.157058283,0.170077656,0.461282463,0.305181422
0.468632966,0.508759833,0.038268016,0.052315418,0.115068702,0.139909556,0.084773409,0.055659634
0.045441763,0.088049175,0.038748238,0.032644317,0.234439841,0.050067346,0.214433215,0.083587992
0.820518535,0.766806584,0.865955338,0.841740614,0.64520634,0.911302446,0.729821634,0.481782448
0.067291625,0.02407729,0.049372968,0.059489422,0.529497032,0.401510495,0.439497257,0.387657663
0.139210523,0.102771005,0.184664253,0.051261092,0.172810563,0.063448171,0.812828383,0.038959524
0.071675082,0.046189962,0.056798887,0.053885556,0.082877342,0.534745472,0.151595973,0.028447172
0.249196315,0.26068063,0.125653631,0.120331635,0.106543945,0.150532795,0.144640772,0.057130963
0.229574633,0.221811438,0.112863517,0.064674982,0.252333581,0.36965377,0.169431356,0.059047065
0.650420086,0.646571546,0.475652833,0.859342222,0.562595555,0.874203377,0.889438885,0.574745186
0.70663002,0.750968329,0.90641766,0.89174216,0.830181113,0.821379386,0.778142679,0.847135157
0.042487972,0.026407185,0.211413463,0.16804587,0.93423601,0.896929843,0.782361129,0.844102054
0.451170511,0.447597009,0.456826347,0.173298013,0.056411774,0.446939638,0.093845071,0.138096571
0.134612806,0.125918014,0.104157993,0.119409078,0.240545385,0.040593213,0.127003904,0.117411187
0.413634146,0.160998247,0.0640493,0.812649817,0.191168724,0.365441454,0.649705477,0.027512809
0.020946278,0.031083838,0.151564442,0.073605979,0.439046689,0.902327104,0.46509992,0.435594078
0.049095482,0.068177226,0.07512497,0.036557329,0.080206698,0.175125047,0.142532947,0.046750945
0.652716369,0.677807592,0.509744966,0.558301236,0.612425876,0.066474315,0.602744008,0.667533622
0.181723794,0.097537176,0.147501693,0.468625824,0.545285226,0.471953555,0.566374834,0.523392633
0.05577094,0.048496159,0.101538032,0.067904816,0.58893958,0.520935023,0.561230713,0.354320481
0.380457737,0.398630412,0.174670046,0.110134406,0.322396657,0.886516173,0.788711656,0.05430105
0.153632227,0.123086606,0.163040147,0.498170788,0.630989662,0.101472125,0.52615341,0.803065401
0.064490375,0.061417312,0.101434702,0.092984958,0.336260991,0.888101102,0.776164485,0.363122907
0.097506724,0.033040038,0.089627612,0.044677964,0.758873875,0.582992189,0.407261603,0.552423947
0.348574529,0.5278626,0.594899339,0.144542833,0.596861414,0.440243227,0.583875828,0.531328114
0.080659691,0.062168419,0.023071137,0.025300034,0.08537643,0.155463075,0.095132374,0.033730272
0.040697585,0.051698739,0.144564552,0.045195876,0.681440743,0.462910617,0.184145027,0.461133075
0.242547024,0.154221318,0.051362062,0.036670708,0.21778209,0.212989683,0.048996215,0.076821709
0.39847211,0.409549729,0.546860925,0.497568049,0.915878387,0.828168675,0.530017944,0.937045386
0.048648811,0.055722052,0.148739838,0.093837776,0.459843023,0.400482245,0.569183361,0.486806256
0.916149838,0.784900561,0.866495232,0.604718714,0.836098062,0.847466186,0.580261295,0.566889463
0.033787147,0.02691933,0.086120421,0.048549852,0.070277262,0.0642849,0.150835374,0.11626694
0.060710385,0.021712782,0.080991233,0.048226207,0.031487375,0.060600226,0.137717833,0.035817289
0.854359667,0.922083161,0.273068034,0.95121536,0.862161856,0.958037586,0.943826678,0.948940358
0.417953078,0.363158718,0.414335953,0.396462745,0.54620304,0.112067183,0.337451093,0.336840541
0.43100884,0.427868952,0.406092459,0.389043446,0.501429288,0.032538987,0.552033281,0.390323272
0.612354208,0.584907677,0.612216105,0.653732753,0.895879694,0.909731147,0.699999186,0.910430188
0.616726108,0.625813264,0.56242334,0.575016873,0.926929425,0.95551316,0.605215119,0.875012222
0.393760197,0.520675671,0.173187655,0.159225187,0.179129413,0.558951776,0.564933421,0.055812879
0.825926783,0.903142027,0.634293112,0.607554291,0.622142916,0.041184806,0.42379396,0.599268101
0.589821131,0.741388761,0.363221284,0.158955114,0.812799441,0.19908791,0.143969418,0.87454028
