DA LL 1,DA LL 2,DBL1,DBL2,DB LL 3,DB LL 4,DBL20,DBL21
0.50682525,0.519245339,0.10042696,0.583613281,0.126405252,0.682023118,0.188656532,0.526934884
0.300992101,0.531210042,0.590306142,0.139623798,0.481579754,0.08204272,0.221533438,0.14844219
0.481147286,0.484379101,0.468093062,0.869799416,0.840051567,0.337213966,0.185125423,0.464820838
0.485815775,0.436974455,0.055151078,0.121841153,0.025224609,0.227570782,0.479538625,0.025607068
0.520844226,0.26834782,0.597486304,0.328157968,0.079932111,0.527635186,0.456316465,0.09347901
0.481403987,0.452624244,0.338675722,0.357615744,0.160941151,0.572989149,0.084799428,0.384873897
0.902407717,0.953051749,0.947704608,0.957571456,0.937335175,0.89468163,0.604096035,0.938264309
0.649789481,0.877579517,0.626005673,0.924277657,0.921532027,0.864571386,0.492222031,0.888345458
0.447343213,0.506042117,0.183186874,0.603351191,0.585201831,0.635027618,0.705901393,0.582290297
0.590066733,0.492284168,0.870843118,0.787856701,0.922680855,0.922876321,0.610170425,0.930026055
0.075645174,0.338593566,0.302047734,0.043990049,0.18623681,0.859591396,0.31788582,0.052981022
0.203067182,0.134802245,0.112290285,0.353271276,0.547597147,0.044703547,0.83982801,0.033738729
0.107736931,0.093053744,0.087158656,0.080451531,0.049863488,0.446846868,0.243241027,0.045998653
0.86583418,0.890213161,0.787169651,0.891423717,0.604435874,0.956039646,0.340111181,0.906972502
0.709148016,0.56013321,0.604361491,0.737880336,0.910934691,0.956380104,0.607574823,0.867122591
0.912281277,0.934663593,0.756198696,0.965450858,0.663614246,0.886580356,0.604789247,0.945736561
0.424909484,0.402947047,0.268395319,0.73146358,0.110720596,0.050181595,0.443733398,0.082765404
0.732781157,0.941825891,0.370286698,0.038282305,0.116155181,0.063368178,0.544229627,0.039010825
0.08320135,0.052790446,0.054475869,0.092600181,0.060145619,0.206570621,0.097185884,0.044281183
0.873233243,0.923932592,0.729337733,0.555391511,0.91645201,0.507661815,0.653762187,0.596823932
0.6379413,0.048927484,0.374834279,0.184028259,0.211920453,0.14864637,0.168744772,0.52026518
0.31266666,0.345363977,0.226838205,0.08775792,0.504183744,0.091322894,0.455638391,0.078405648
0.321671121,0.502747304,0.426544534,0.245236147,0.3286684,0.620264848,0.86547671,0.913384536
0.56012223,0.474933421,0.933124619,0.947057006,0.911960145,0.852353537,0.926869599,0.936575913
0.573880981,0.20029786,0.606838454,0.439584094,0.953336391,0.698998852,0.567628765,0.28280853
0.350331808,0.737395245,0.115850769,0.277660965,0.091384603,0.110743378,0.271106184,0.487056853
0.255174046,0.256426091,0.033881325,0.459471203,0.032189904,0.042082723,0.086101274,0.027926443
0.494897916,0.235311733,0.417183588,0.927410556,0.395838689,0.770892487,0.27609813,0.60927813
0.353153854,0.81772836,0.389516181,0.699837829,0.584712568,0.461507109,0.097134113,0.523776744
0.398579426,0.1103915,0.343703235,0.373376001,0.106936102,0.292633998,0.388757312,0.404830079
0.76503343,0.780058063,0.845539055,0.912798596,0.901796623,0.577783473,0.705323039,0.922275784
0.573309572,0.082554822,0.508860977,0.895559505,0.506492178,0.916820947,0.12506137,0.933900477
0.896961291,0.939116388,0.676132212,0.514919593,0.948253778,0.651608753,0.895281973,0.519610366
0.181419033,0.080749391,0.321730246,0.283338058,0.074737149,0.113719671,0.122234619,0.087668102
0.570189012,0.457071423,0.115926988,0.937872407,0.278396899,0.580537962,0.040042328,0.936966714
