NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1025	1	-1	-1	82.172203	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	82.172203	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	82.172203	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	83.172211	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	83.172211	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	83.172211	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1026	1	-1	-1	84.172211	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1026	1	-1	-1	84.172211	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1026	1	-1	-1	84.172211	2	2	1	1026	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	85.172264	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	85.172264	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	85.172264	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	86.172272	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	86.172272	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	86.172272	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	87.172340	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	87.172340	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	87.172340	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	88.172356	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	88.172356	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	88.172356	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	89.172409	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	89.172409	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	89.172409	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	90.172424	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	90.172424	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	90.172424	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	91.172440	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	91.172440	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	91.172440	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	92.172447	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	92.172447	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	92.172447	2	2	1	1022	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	93.172447	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	93.172447	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	93.172447	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	94.172508	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	94.172508	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	94.172508	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	95.172554	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	95.172554	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	95.172554	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	96.172577	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	96.172577	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	96.172577	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	97.172615	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	97.172615	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	97.172615	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	98.172638	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	98.172638	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	98.172638	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	99.172646	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	99.172646	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	99.172646	2	2	1	1023	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	100.172653	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	100.172653	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	100.172653	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	101.172737	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	101.172737	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	101.172737	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	102.172752	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	102.172752	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	102.172752	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	103.172768	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	103.172768	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	103.172768	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	104.172775	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	104.172775	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	104.172775	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
1024	1	-1	-1	105.172783	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1024	1	-1	-1	105.172783	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1024	1	-1	-1	105.172783	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	106.172806	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	106.172806	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	106.172806	2	2	1	1024	16.639093	0.000000	13.521534	2	0	0
1025	1	-1	-1	107.173019	0	0	0	0	1.000000	0.000000	0.000000	0	0	0
1025	1	-1	-1	107.173019	1	1	0	0	2.695590	0.000000	9.219147	1	0	0
1025	1	-1	-1	107.173019	2	2	1	1025	16.639093	0.000000	13.521534	2	0	0
