Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	267911	268070	3	2	0	1	251	11.297130	0.000000	312.799774	1024
0	268070	268126	3	2	0	1	252	11.297130	0.000000	312.858917	1024
0	268126	268314	3	2	0	1	253	11.297130	0.000000	313.041168	1024
0	268314	269057	3	2	0	1	254	11.297130	0.000000	313.827942	1024
0	269057	270289	3	2	0	1	255	11.297130	0.000000	315.197144	1024
0	270289	270820	3	2	0	1	256	11.297130	0.000000	315.764404	1024
0	270820	271277	3	2	0	1	257	11.297130	0.000000	316.277771	1024
0	271277	271927	3	2	0	1	258	11.297130	0.000000	316.992554	1024
0	271927	272665	3	2	0	1	260	11.297130	0.000000	317.766113	1024
0	272665	275135	3	2	0	1	261	11.297130	0.000000	320.465942	1024
0	275135	277700	3	2	0	1	262	11.297130	0.000000	323.188507	1024
0	277700	278831	3	2	0	1	263	11.297130	0.000000	324.519470	1024
0	278831	279096	3	2	0	1	264	11.297130	0.000000	324.780823	1024
0	279096	279433	3	2	0	1	265	11.297130	0.000000	325.145294	1024
0	279433	279990	3	2	0	1	266	11.297130	0.000000	325.757904	1024
0	285818	285916	3	2	0	1	268	11.297130	0.000000	332.369476	1024
0	279990	285818	3	2	0	1	267	11.297130	0.000000	332.229736	1024
0	285916	286349	3	2	0	1	269	11.297130	0.000000	332.804535	1024
0	286911	287259	3	2	0	1	271	11.297130	0.000000	333.817566	1024
0	286349	286911	3	2	0	1	270	11.297130	0.000000	333.438141	1024
0	287259	287676	3	2	0	1	272	11.297130	0.000000	334.247467	1024
0	287676	288099	3	2	0	1	273	11.297130	0.000000	334.717712	1024
0	288099	288358	3	2	0	1	274	11.297130	0.000000	334.997162	1024
0	288358	288452	3	2	0	1	275	11.297130	0.000000	335.096893	1024
0	289071	289357	3	2	0	1	277	11.297130	0.000000	336.013489	1024
0	288452	289071	3	2	0	1	276	11.297130	0.000000	335.711914	1024
0	289357	289379	3	2	0	1	278	11.297130	0.000000	336.036743	1024
0	289379	289613	3	2	0	1	279	11.297130	0.000000	336.278320	1024
0	289613	289984	3	2	0	1	280	11.297130	0.000000	336.690552	1024
0	289984	290051	3	2	0	1	281	11.297130	0.000000	336.770355	1024
0	290051	290202	3	2	0	1	282	11.297130	0.000000	336.945526	1024
0	291608	291853	3	2	0	1	284	11.297130	0.000000	338.729553	1024
0	290202	291608	3	2	0	1	283	11.297130	0.000000	338.457092	1024
0	291853	293569	3	2	0	1	285	11.297130	0.000000	340.619812	1024
0	293569	294956	3	2	0	1	286	11.297130	0.000000	342.168060	1024
0	294956	295235	3	2	0	1	287	11.297130	0.000000	342.460449	1024
0	295235	298635	3	2	0	1	288	11.297130	0.000000	346.156799	1024
0	298635	299752	3	2	0	1	289	11.297130	0.000000	347.382416	1024
0	299752	301423	3	2	0	1	290	11.297130	0.000000	349.186798	1024
0	301423	302611	3	2	0	1	291	11.297130	0.000000	350.458588	1024
0	302611	303521	3	2	0	1	292	11.297130	0.000000	351.406860	1024
0	303644	303667	3	2	0	1	294	11.297130	0.000000	351.592987	1024
0	303521	303644	3	2	0	1	293	11.297130	0.000000	351.566345	1024
0	304176	304367	3	2	0	1	296	11.297130	0.000000	352.298828	1024
0	303667	304176	3	2	0	1	295	11.297130	0.000000	352.099030	1024
0	304367	304831	3	2	0	1	297	11.297130	0.000000	352.790009	1024
0	304831	305255	3	2	0	1	298	11.297130	0.000000	353.246674	1024
0	305255	305941	3	2	0	1	299	11.297130	0.000000	353.971802	1024
0	305941	308560	3	2	0	1	300	11.297130	0.000000	356.850037	1024
0	308560	310332	3	2	0	1	301	11.297130	0.000000	358.737762	1024
0	311055	311115	3	2	0	1	303	11.297130	0.000000	359.582886	1024
0	310332	311055	3	2	0	1	302	11.297130	0.000000	359.509949	1024
0	311582	311859	3	2	0	1	305	11.297130	0.000000	360.344360	1024
0	311115	311582	3	2	0	1	304	11.297130	0.000000	360.056610	1024
0	313167	313243	3	2	0	1	307	11.297130	0.000000	361.793091	1024
0	311859	313167	3	2	0	1	306	11.297130	0.000000	361.708008	1024
